id;color;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
76;red;11.6;0.32;0.55;2.8;0.081;35;67;1.0002;3.32;0.92;10.8;7
77;white;7;0.14;0.28;1.3;0.026;10;56;0.99352;3.46;0.45;9.9;5
78;white;5.6;0.28;0.27;3.9;0.043;52;158;0.99202;3.35;0.44;10.7;7
79;red;10.4;0.26;0.48;1.9;0.066;6;10;0.99724;3.33;0.87;10.9;6
80;white;6.4;0.31;0.28;1.5;0.037;12;119;0.9919;3.32;0.51;10.4;7
81;white;6.8;0.28;0.17;13.9;0.047;49;162;0.9983;3.21;0.51;9;6
82;white;7.2;0.685;0.21;9.5;0.07;33;172;0.9971;3;0.55;9.1;6
83;white;5.8;0.3;0.38;4.9;0.039;22;86;0.98963;3.23;0.58;13.1;7
84;white;5.6;0.25;0.26;3.6;0.037;18;115;0.9904;3.42;0.5;12.6;6
85;white;6.8;0.18;0.37;1.5;0.027;37;93;0.992;3.3;0.45;10.8;6
86;white;9.8;0.25;0.74;10;0.056;36;225;0.9977;3.06;0.43;10;4
87;white;7.4;0.25;0.36;2.05;0.05;31;100;0.992;3.19;0.44;10.8;6
88;white;7.1;0.2;0.31;7.4;0.053;32;211;0.99587;3.31;0.59;10.4;6
89;red;8.7;0.765;0.22;2.3;0.064;9;42;0.9963;3.1;0.55;9.4;5
90;red;8.6;0.22;0.36;1.9;0.064;53;77;0.99604;3.47;0.87;11;7
91;white;6.7;0.265;0.22;8.6;0.048;54;198;0.9955;3.25;0.41;10.2;5
92;white;6.6;0.34;0.24;3.3;0.034;29;99;0.99031;3.1;0.4;12.3;7
93;white;7.3;0.22;0.41;15.4;0.05;55;191;1;3.32;0.59;8.9;6
94;white;5.2;0.25;0.23;1.4;0.047;20;77;0.99001;3.32;0.62;11.4;5
95;white;5.7;0.25;0.22;9.8;0.049;50;125;0.99571;3.2;0.45;10.1;6
96;white;7.8;0.32;0.31;1.7;0.036;46;195;0.993;3.03;0.48;10.5;5
97;white;6.3;0.27;0.18;7.7;0.048;45;186;0.9962;3.23;0.47;9;5
98;white;5.4;0.205;0.16;12.55;0.051;31;115;0.99564;3.4;0.38;10.8;6
99;white;6.9;0.3;0.33;4.1;0.035;26;155;0.9925;3.25;0.79;12.3;8
100;red;7.7;0.39;0.12;1.7;0.097;19;27;0.99596;3.16;0.49;9.4;5
101;white;6;0.41;0.23;1.1;0.066;22;148;0.99266;3.3;0.47;9.63333333333333;5
102;red;8.6;0.315;0.4;2.2;0.079;3;6;0.99512;3.27;0.67;11.9;6
103;red;10.2;0.44;0.58;4.1;0.092;11;24;0.99745;3.29;0.99;12;7
104;white;6.5;0.2;0.24;9.2;0.044;25;150;0.99502;3.22;0.44;10.5;5
105;white;7.6;0.19;0.42;1.5;0.044;6;114;0.9914;3.04;0.74;12.8;6
106;white;6.6;0.13;0.3;4.9;0.058;47;131;0.9946;3.51;0.45;10.3;6
107;white;7.4;0.2;0.37;16.95;0.048;43;190;0.9995;3.03;0.42;9.2;6
108;white;6.8;0.705;0.25;3.2;0.048;10;57;0.996;3.36;0.52;9.5;4
109;white;6.9;0.27;0.41;1.7;0.047;6;134;0.9929;3.15;0.69;11.4;6
110;white;6.8;0.19;0.4;9.85;0.055;41;103;0.99532;2.98;0.56;10.5;6
111;white;6.9;0.38;0.28;8.3;0.062;22;166;0.99506;3.16;0.72;10.6;5
112;white;6.9;0.27;0.4;14;0.05;64;227;0.9979;3.18;0.58;9.6;6
113;white;7.1;0.16;0.36;1.2;0.043;21;90;0.9925;3.16;0.42;11;7
114;red;6.6;0.63;0;4.3;0.093;51;77.5;0.99558;3.2;0.45;9.5;5
115;red;6.9;0.685;0;2.5;0.105;22;37;0.9966;3.46;0.57;10.6;6
116;red;11.9;0.57;0.5;2.6;0.082;6;32;1.0006;3.12;0.78;10.7;6
117;white;6.7;0.21;0.37;2.5;0.034;35;89;0.9913;3.25;0.5;11;7
118;white;7.4;0.33;0.26;15.6;0.049;67;210;0.99907;3.06;0.68;9.5;5
119;white;7.5;0.42;0.14;10.7;0.046;18;95;0.9959;3.22;0.33;10.7;5
120;red;6.2;0.36;0.24;2.2;0.095;19;42;0.9946;3.57;0.57;11.7;6
121;white;6.8;0.32;0.3;1;0.049;22;113;0.99289;3.24;0.61;10.2;5
122;red;7.3;0.305;0.39;1.2;0.059;7;11;0.99331;3.29;0.52;11.5;6
123;red;6.7;0.28;0.28;2.4;0.012;36;100;0.99064;3.26;0.39;11.7;7
124;white;6.5;0.33;0.3;3.8;0.036;34;88;0.99028;3.25;0.63;12.5;7
125;red;10.4;0.33;0.63;2.8;0.084;5;22;0.9998;3.26;0.74;11.2;7
126;white;7;0.33;0.32;1.2;0.053;38;138;0.9906;3.13;0.28;11.2;6
127;white;5.9;0.46;0.14;2.7;0.042;27;160;0.9931;3.46;0.51;10.6;7
128;white;7.3;0.24;0.3;2.5;0.042;31;104;0.9911;3.05;0.56;11.3;7
129;white;9.4;0.3;0.32;10.7;0.029;14;111;0.9958;2.85;0.42;10.6;5
130;white;6.6;0.31;0.38;16.05;0.058;16;165;0.9997;3.38;0.6;9.2;5
131;white;6.9;0.14;0.38;1;0.041;22;81;0.99043;3.03;0.54;11.4;6
132;red;7;0.69;0.07;2.5;0.091;15;21;0.99572;3.38;0.6;11.3;6
133;white;7.3;0.815;0.09;11.4;0.044;45;204;0.99713;3.15;0.46;9;5
134;white;6.1;0.34;0.27;2.6;0.024;20;105;0.9906;3.4;0.67;12.2;7
135;white;7.1;0.28;0.26;1.9;0.049;12;86;0.9934;3.15;0.38;9.4;5
136;white;7.1;0.2;0.27;9.6;0.037;19;105;0.99444;3.04;0.37;10.5;7
137;white;7.4;0.28;0.3;5.3;0.054;44;161;0.9941;3.12;0.48;10.3;6
138;white;6.2;0.36;0.45;10.4;0.06;22;184;0.99711;3.31;0.56;9.8;6
139;white;7.8;0.3;0.36;4.6;0.024;20;198;0.99222;3.06;0.66;11.9;6
140;red;6.6;0.8;0.03;7.8;0.079;6;12;0.9963;3.52;0.5;12.2;5
141;white;6.6;0.31;0.07;1.5;0.033;55;144;0.99208;3.16;0.42;10;5
142;red;7;0.42;0.35;1.6;0.088;16;39;0.9961;3.34;0.55;9.2;5
143;white;6.9;0.28;0.37;9.1;0.037;16;76;0.9948;3.05;0.54;11.1;5
144;red;13.2;0.46;0.52;2.2;0.071;12;35;1.0006;3.1;0.56;9;6
145;white;7;0.32;0.24;6.2;0.048;31;228;0.9957;3.23;0.62;9.4;6
146;white;7.3;0.25;0.36;13.1;0.05;35;200;0.9986;3.04;0.46;8.9;7
147;white;6.1;0.34;0.21;5;0.042;17;133;0.99373;3.02;0.53;9.4;5
148;red;9.3;0.27;0.41;2;0.091;6;16;0.998;3.28;0.7;9.7;5
149;white;7.6;0.345;0.26;1.9;0.043;15;134;0.9936;3.08;0.38;9.5;5
150;white;6.6;0.45;0.43;7.2;0.064;31;186;0.9954;3.12;0.44;9.4;5
151;white;6.6;0.16;0.3;1.6;0.034;15;78;0.992;3.38;0.44;11.2;6
152;white;8;0.36;0.39;1.6;0.024;26;93;0.99116;3.15;0.49;11.9;6
153;white;6.5;0.35;0.31;10.2;0.069;58;170;0.99692;3.18;0.49;9.4;5
154;white;6.7;0.16;0.32;12.5;0.035;18;156;0.99666;2.88;0.36;9;6
155;white;6.1;0.68;0.52;1.4;0.037;32;123;0.99022;3.24;0.45;12;6
156;white;6.7;0.31;0.09;1.4;0.039;53;141;0.99206;3.12;0.44;10.1;5
157;white;7;0.32;0.29;7.6;0.025;35;124;0.99162;3.15;0.65;12.8;7
158;white;6;0.34;0.24;5.4;0.06;23;126;0.9951;3.25;0.44;9;7
159;white;7.4;0.2;0.37;1.2;0.028;28;89;0.99132;3.14;0.61;11.8;6
160;white;5.7;0.2;0.24;13.8;0.047;44;112;0.99837;2.97;0.66;8.8;6
161;white;5.8;0.27;0.22;12.7;0.058;42;206;0.9946;3.32;0.38;12.3;6
162;red;10.6;0.34;0.49;3.2;0.078;20;78;0.9992;3.19;0.7;10;6
163;red;9.3;0.38;0.48;3.8;0.132;3;11;0.99577;3.23;0.57;13.2;6
164;white;5.4;0.31;0.47;3;0.053;46;144;0.9931;3.29;0.76;10;5
165;white;8;0.45;0.28;10.8;0.051;25;157;0.9957;3.06;0.47;11.4;7
166;white;6.6;0.25;0.51;8;0.047;61;189;0.99604;3.22;0.49;9.2;5
167;white;7.7;0.11;0.34;14.05;0.04;41;114;0.99634;3.07;0.59;11;7
168;red;6.3;0.39;0.16;1.4;0.08;11;23;0.9955;3.34;0.56;9.3;5
169;white;6.4;0.25;0.57;1;0.062;21;122;0.99238;3;0.4;9.5;5
170;white;7.3;0.28;0.42;14.4;0.04;49;173;0.9994;3.28;0.82;9;7
171;white;6.8;0.21;0.49;14.5;0.06;50;170;0.9991;3.55;0.44;9.8;6
172;white;8;0.22;0.31;5.6;0.049;24;97;0.993;3.1;0.42;10.9;5
173;white;6.6;0.23;0.32;1.5;0.041;8;72;0.98949;3.22;0.39;12.7;6
174;white;6.7;0.28;0.28;2.4;0.012;36;100;0.99064;3.26;0.39;11.7;7
175;white;7.6;0.31;0.26;1.7;0.073;40;157;0.9938;3.1;0.46;9.8;5
176;white;6.4;0.26;0.26;1.1;0.052;22;176;0.99304;3.09;0.54;9.3;5
177;red;10.7;0.67;0.22;2.7;0.107;17;34;1.0004;3.28;0.98;9.9;6
178;white;7;0.2;0.3;6.1;0.037;31;120;0.9939;3.24;0.51;10.8;5
179;red;8.8;0.955;0.05;1.8;0.075;5;19;0.99616;3.3;0.44;9.6;4
180;white;6.6;0.18;0.28;1.7;0.041;53;161;0.99207;3.13;0.45;10.2;6
181;white;6.6;0.2;0.14;4.4;0.184;35;168;0.99396;2.93;0.45;9.4;6
182;white;6.8;0.24;0.37;7.45;0.043;59;188;0.99579;3.2;0.5;9.4;6
183;white;5.7;0.31;0.28;4.1;0.03;22;86;0.99062;3.31;0.38;11.7;7
184;white;7.1;0.85;0.49;8.7;0.028;40;184;0.9962;3.22;0.36;10.7;5
185;white;7.5;0.18;0.31;6.5;0.029;53;160;0.99276;3.03;0.38;10.9;6
186;white;6.5;0.25;0.32;9.9;0.045;41;128;0.99636;3.18;0.52;9.6;6
187;red;7.5;0.77;0.2;8.1;0.098;30;92;0.99892;3.2;0.58;9.2;5
188;red;7.2;0.645;0;1.9;0.097;15;39;0.99675;3.37;0.58;9.2;6
189;white;7.4;0.32;0.22;1.7;0.051;50;179;0.9955;3.28;0.69;8.9;5
190;red;8.2;0.28;0.6;3;0.104;10;22;0.99828;3.39;0.68;10.6;5
191;white;6.9;0.2;0.34;1.9;0.043;25;136;0.9935;3.31;0.6;10.1;4
192;white;6.8;0.27;0.26;16.1;0.049;55;196;0.9984;3.15;0.5;9.3;5
193;white;6.8;0.14;0.35;1.5;0.047;40;117;0.99111;3.07;0.72;11.1;6
194;red;6.8;0.81;0.05;2;0.07;6;14;0.99562;3.51;0.66;10.8;6
195;white;6.5;0.39;0.35;1.6;0.049;10;164;0.99516;3.35;0.51;9.7;5
196;white;9.6;0.25;0.54;1.3;0.04;16;160;0.9938;2.94;0.43;10.5;5
197;red;7.3;0.55;0.01;1.8;0.093;9;15;0.99514;3.35;0.58;11;7
198;white;8.4;0.16;0.33;1.5;0.033;16;98;0.994;3.14;0.42;9.7;6
199;white;6.8;0.15;0.33;4.7;0.059;31;118;0.9956;3.43;0.39;9;7
200;white;6.8;0.19;0.33;1.3;0.031;22;87;0.98987;3.08;0.62;12.3;7
201;white;6.5;0.51;0.25;1.7;0.048;39;177;0.99212;3.28;0.57;10.5666666666667;5
202;white;5.9;0.37;0.32;1.6;0.029;41;102;0.98916;3.41;0.55;12.7;7
203;red;7.9;0.3;0.68;8.3;0.05;37.5;278;0.99316;3.01;0.51;12.3;7
204;white;4.8;0.26;0.23;10.6;0.034;23;111;0.99274;3.46;0.28;11.5;7
205;white;5.6;0.39;0.24;4.7;0.034;27;77;0.9906;3.28;0.36;12.7;5
206;white;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;6
207;red;8.5;0.47;0.27;1.9;0.058;18;38;0.99518;3.16;0.85;11.1;6
208;white;6.6;0.32;0.33;2.5;0.052;40;219.5;0.99316;3.15;0.6;10;5
209;white;6.6;0.17;0.3;1.1;0.031;13;73;0.99095;3.17;0.58;11;6
210;white;6.3;0.29;0.3;8.1;0.212;60;150;0.9958;3.1;0.4;9.3;5
211;red;11.3;0.34;0.45;2;0.082;6;15;0.9988;2.94;0.66;9.2;6
212;white;5.9;0.54;0;0.8;0.032;12;82;0.99286;3.25;0.36;8.8;5
213;white;6.6;0.5;0.26;11.3;0.029;32;110;0.99302;3.27;0.78;12.9;8
214;white;6.9;0.23;0.35;6.9;0.03;45;116;0.99244;2.8;0.54;11;6
215;white;6;0.17;0.33;6;0.036;30;111;0.99362;3.32;0.58;10.1333333333333;7
216;white;7.9;0.27;0.27;1.7;0.034;25;122;0.99088;2.97;0.51;11.9;6
217;white;7.6;0.3;0.37;1.6;0.087;27;177;0.99438;3.09;0.5;9.8;5
218;white;8.4;0.17;0.31;6.7;0.038;29;132;0.9945;3.1;0.32;10.6;7
219;red;9.9;0.27;0.49;5;0.082;9;17;0.99484;3.19;0.52;12.5;7
220;white;6.1;0.255;0.44;12.3;0.045;53;197;0.9967;3.24;0.54;9.5;6
221;white;5.2;0.37;0.33;1.2;0.028;13;81;0.9902;3.37;0.38;11.7;6
222;white;7;0.3;0.28;2.2;0.042;21;177;0.99166;3.2;0.57;11.4;5
223;red;7;0.49;0.49;5.6;0.06;26;121;0.9974;3.34;0.76;10.5;5
224;white;6.4;0.28;0.29;1.6;0.052;34;127;0.9929;3.48;0.56;10.5;7
225;white;5.6;0.245;0.32;1.1;0.047;24;152;0.9927;3.12;0.42;9.3;6
226;white;6.2;0.33;0.14;4.8;0.052;27;128;0.99475;3.21;0.48;9.4;5
227;red;6.3;0.36;0.19;3.2;0.075;15;39;0.9956;3.56;0.52;12.7;6
228;white;7;0.29;0.37;1.6;0.035;34;126;0.99058;3.26;0.47;12.3;6
229;white;7.8;0.26;0.74;7.5;0.044;59;160;0.996;3.22;0.64;10;6
230;red;10.5;0.42;0.66;2.95;0.116;12;29;0.997;3.24;0.75;11.7;7
231;white;5.8;0.13;0.26;5.1;0.039;19;103;0.99478;3.36;0.47;9.3;6
232;white;7.6;0.21;0.44;1.9;0.036;10;119;0.9913;3.01;0.7;12.8;6
233;white;8.8;0.23;0.74;3.2;0.042;15;126;0.9934;3.02;0.51;11.2;6
234;white;6.8;0.57;0.29;2.2;0.04;15;77;0.9938;3.32;0.74;10.2;5
235;white;7;0.17;0.37;5.7;0.025;29;111;0.9938;3.2;0.49;10.8;6
236;white;8.2;0.37;0.27;1.7;0.028;10;59;0.9923;2.97;0.48;10.4;5
237;white;6.2;0.21;0.18;11.6;0.044;61;155;0.99655;3.14;0.52;9.4;6
238;white;7.4;0.15;0.42;1.7;0.045;49;154;0.992;3;0.6;10.4;6
239;white;6.8;0.22;0.35;17.5;0.039;38;153;0.9994;3.24;0.42;9;6
240;white;6.3;0.32;0.26;12.3;0.044;24;205;0.99611;3.11;0.58;9.9;5
241;white;6;0.32;0.3;1.9;0.033;41;142;0.98912;3.29;0.42;12.8;7
242;red;7.6;0.55;0.21;2.2;0.071;7;28;0.9964;3.28;0.55;9.7;5
243;white;8.6;0.34;0.36;1.4;0.045;11;119;0.99556;3.17;0.47;9.4;4
244;white;6;0.28;0.25;1.8;0.042;8;108;0.9929;3.08;0.55;9;5
245;white;6.6;0.35;0.19;10.5;0.06;15;82;0.99588;3.13;0.38;9.9;4
246;white;7.2;0.16;0.35;1.2;0.031;27;84;0.9928;3.33;0.34;9.9;5
247;white;9.4;0.16;0.23;1.6;0.042;14;67;0.9942;3.07;0.32;9.5;5
248;white;6.6;0.34;0.2;1;0.053;26;112;0.99336;3.32;0.55;9.1;5
249;white;6.9;0.29;0.3;8.2;0.026;35;112;0.99144;3;0.37;12.3;6
250;red;7.6;0.685;0.23;2.3;0.111;20;84;0.9964;3.21;0.61;9.3;5
251;red;12.5;0.6;0.49;4.3;0.1;5;14;1.001;3.25;0.74;11.9;6
252;white;6.8;0.32;0.34;6;0.05;5;129;0.9953;3.19;0.4;9.1;5
253;white;7.2;0.23;0.32;8.5;0.058;47;186;0.9956;3.19;0.4;9.9;6
254;white;5.9;0.19;0.21;1.7;0.045;57;135;0.99341;3.32;0.44;9.5;5
255;white;6.2;0.17;0.28;4.7;0.037;39;133;0.9931;3.41;0.46;10.8;7
256;white;6.6;0.32;0.27;10.9;0.041;37;146;0.9963;3.24;0.47;10;5
257;white;8.1;0.3;0.49;8.1;0.037;26;174;0.9943;3.1;0.3;11.2;7
258;white;7.2;0.4;0.24;8.5;0.055;45;151;0.99626;3.2;0.52;9.2;5
259;white;6.7;0.12;0.36;2.3;0.039;43;125;0.99229;3.07;0.67;10.1;7
260;white;6.6;0.32;0.47;15.6;0.063;27;173;0.99872;3.18;0.56;9;5
261;white;6.6;0.21;0.29;5.35;0.029;43;106;0.99112;2.93;0.43;11.5;7
262;white;5.7;0.14;0.3;5.4;0.045;26;105;0.99469;3.32;0.45;9.3;5
263;white;7.4;0.41;0.34;4.7;0.042;19;127;0.9953;3.25;0.42;10.4;5
264;white;5.7;0.22;0.2;16;0.044;41;113;0.99862;3.22;0.46;8.9;6
265;red;7.8;0.76;0.04;2.3;0.092;15;54;0.997;3.26;0.65;9.8;5
266;white;7.6;0.19;0.37;13.1;0.033;52;151;0.99726;3.18;0.79;10.4;6
267;white;6.9;0.29;0.4;19.45;0.043;36;156;0.9996;2.93;0.47;8.9;5
268;white;7.5;0.27;0.31;17.7;0.051;33;173;0.999;3.09;0.64;10.2;5
269;white;7.1;0.23;0.3;2.6;0.034;62;148;0.99121;3.03;0.56;11.3;7
270;white;7.3;0.4;0.26;5.45;0.016;26;90;0.98951;2.84;0.54;13.2;7
271;white;6.9;0.32;0.26;8.3;0.053;32;180;0.9965;3.25;0.51;9.2;6
272;white;7.2;0.47;0.16;5.9;0.048;14;125;0.99428;3.09;0.49;9.8;5
273;white;6.2;0.36;0.14;8.9;0.036;38;155;0.99622;3.27;0.5;9.4;5
274;red;12;0.39;0.66;3;0.093;12;30;0.9996;3.18;0.63;10.8;7
275;red;11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6
276;white;4.9;0.235;0.27;11.75;0.03;34;118;0.9954;3.07;0.5;9.4;6
277;white;4.9;0.33;0.31;1.2;0.016;39;150;0.98713;3.33;0.59;14;8
278;white;5.9;0.24;0.28;1.3;0.032;36;95;0.98889;3.08;0.64;12.9;7
279;red;11.6;0.475;0.4;1.4;0.091;6;28;0.99704;3.07;0.65;10.0333333333333;6
280;red;9.2;0.67;0.1;3;0.091;12;48;0.99888;3.31;0.54;9.5;6
281;red;13.7;0.415;0.68;2.9;0.085;17;43;1.0014;3.06;0.8;10;6
282;white;6.3;0.17;0.23;5.7;0.048;44;147;0.99382;3.08;0.54;10;5
283;white;7.5;0.2;0.47;16.9;0.052;51;188;0.99944;3.09;0.62;9.3;5
284;white;6.6;0.24;0.38;12.75;0.034;8;74;0.99386;3.1;0.57;12.9;6
285;red;10.8;0.29;0.42;1.6;0.084;19;27;0.99545;3.28;0.73;11.9;6
286;white;5.6;0.26;0.5;11.4;0.029;25;93;0.99428;3.23;0.49;10.5;6
287;white;6.9;0.35;0.55;11.95;0.038;22;111;0.99687;3.11;0.29;9.7;5
288;white;6.8;0.3;0.24;6.6;0.123;35;116;0.9953;3.07;0.48;9.4;5
289;white;6.9;0.38;0.25;9.8;0.04;28;191;0.9971;3.28;0.61;9.2;5
290;white;6.9;0.21;0.81;1.1;0.137;52;123;0.9932;3.03;0.39;9.2;6
291;white;7.1;0.4;0.52;1.3;0.148;45;149;0.99468;3.08;0.56;8.7;5
292;white;5.9;0.26;0.29;5.4;0.046;34;116;0.99224;3.24;0.41;11.4;6
293;white;6.8;0.22;0.3;13.6;0.055;50;180;0.9984;3.44;0.39;9.8;5
294;red;8.2;0.78;0;2.2;0.089;13;26;0.9978;3.37;0.46;9.6;4
295;white;6.6;0.22;0.35;1.4;0.05;23;83;0.99019;3.17;0.48;12;7
296;red;8.2;0.635;0.1;2.1;0.073;25;60;0.99638;3.29;0.75;10.9;6
297;white;7.7;0.32;0.61;11.8;0.041;66;188;0.99794;3;0.54;9.3;5
298;white;7.4;0.19;0.31;14.5;0.045;39;193;0.9986;3.1;0.5;9.2;6
